ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working hours,TRANSLATE,CONVERT,REDONDEAR
2,2,2,2,4,4,4,2,1,1,3,3,3,2,2,1,2,1977,2,9,15,1,2,35,35,35,35
3,3,3,2,2,3,1,2,3,3,3,3,4,3,4,4,2,,2,9,15,2,1,41-55,41-55,55,55
3,3,3,1,3,2,2,1,1,1,4,4,4,4,4,4,2,1966,1,1,15,3,4,50,50,50,50
4,3,4,3,2,2,2,2,3,2,3,2,1,1,2,1,1,1946,7,3,15,1,6,70,70,70,70
2,2,2,3,2,1,1,3,3,3,2,2,2,1,1,1,1,1980,2,9,15,1,5,"38,7",38.7,38.7,39
3,3,3,1,1,1,1,3,3,4,2,1,2,1,1,1,2,1981,2,15,13,4,1,45,45,45,45
3,4,4,1,1,3,1,1,3,3,4,4,4,3,5,4,2,1978,2,9,4,1,3,45,45,45,45
3,3,3,3,3,2,1,2,3,2,3,3,3,2,3,2,2,1962,1,1,15,1,2,25,25,25,25
3,4,4,3,3,2,2,3,3,1,4,4,3,2,3,1,2,1985,1,2,4,1,2,65-70,65-70,70,70
3,3,3,2,2,2,2,1,2,1,4,4,4,3,3,3,2,1971,1,1,9,2,3,50,50,50,50
4,4,3,2,3,3,1,2,1,2,4,3,3,3,4,2,2,1963,2,11,13,4,5,45,45,45,45
2,3,4,2,3,3,3,2,3,3,3,2,3,2,2,1,2,1956,2,13,13,1,1,45,45,45,45
2,2,3,3,3,1,2,3,3,3,4,3,2,2,3,3,2,1989,2,1,13,4,2,60,60,60,60
3,3,3,4,3,2,1,3,2,2,2,1,2,1,1,2,2,1973,2,1,15,1,2,30,30,30,30
4,3,3,3,2,2,1,2,2,2,2,2,2,2,3,1,1,1972,1,1,15,2,5,55,55,55,55
3,3,3,3,2,2,1,4,3,4,4,4,3,2,3,3,2,1960,1,1,1,1,3,40,40,40,40
3,2,3,3,2,2,2,3,3,3,4,4,4,3,4,3,1,1979,2,3,15,3,3,60,60,60,60
3,3,3,3,2,2,2,3,3,3,4,3,4,2,4,2,1,1965,1,3,13,1,6,80,80,80,80
3,4,2,2,2,2,1,2,3,2,4,4,4,3,4,2,1,1962,1,2,15,3,1,70,70,70,70
4,2,3,2,3,3,2,2,2,3,4,4,4,4,4,3,2,1988,2,1,13,4,1,30,30,30,30
3,2,3,3,3,2,1,3,2,2,4,4,3,3,3,3,2,1978,2,3,15,1,3,80,80,80,80
2,1,4,4,3,1,1,4,4,4,4,3,2,1,1,1,2,1972,1,2,9,3,4,46,46,46,46
3,3,3,2,4,3,3,1,1,1,4,4,3,3,3,2,1,1968,1,3,15,1,3,70,70,70,70
2,3,3,2,4,2,1,2,2,2,4,4,4,4,4,4,2,1976,2,13,15,1,3,30,30,30,30
3,3,3,2,3,3,2,1,2,1,4,4,4,4,4,4,2,1989,2,1,3,4,1,30,30,30,30
3,3,4,4,1,1,1,4,4,4,4,4,3,3,4,4,1,1945,1,1,2,3,6,70,70,70,70
3,3,3,2,2,2,2,2,2,2,2,3,3,3,2,2,1,1967,1,1,15,2,4,50,50,50,50
3,3,3,2,3,3,2,2,2,2,4,4,3,3,3,3,2,1965,9,13,15,1,1,40-45,40-45,45,45
3,4,3,3,3,1,1,3,2,3,3,2,1,1,1,2,1,1959,2,9,13,2,5,40,40,40,40
3,3,3,3,2,2,2,3,3,3,5,4,4,3,4,3,2,1978,2,9,13,4,3,42,42,42,42
1,3,1,2,4,2,3,3,2,2,3,1,2,2,1,1,1,1961,2,13,15,3,3,30,30,30,30
2,2,2,2,2,3,2,3,2,2,4,4,4,4,4,3,1,1980,2,3,15,2,2,43,43,43,43
2,2,2,3,2,2,2,1,2,1,4,3,3,2,4,1,2,1981,2,1,2,3,2,42,42,42,42
1,1,1,4,2,1,1,3,3,3,2,2,1,1,1,2,2,1985,2,11,13,4,2,40,40,40,40
3,2,2,3,2,2,2,3,3,3,3,3,3,3,3,2,2,1991,6,13,4,4,1,20,20,20,20
3,4,4,3,2,3,3,2,3,2,4,4,4,2,4,3,2,1961,2,9,9,3,5,60,60,60,60
2,2,2,2,3,2,3,2,3,2,4,4,3,2,3,3,2,1973,2,3,15,1,3,30,30,30,30
3,3,3,2,2,2,1,2,2,1,4,4,4,4,4,4,2,1978,2,8,2,2,3,50,50,50,50
2,2,3,3,4,3,1,2,2,1,4,3,3,2,3,2,2,1985,2,1,15,2,2,45,45,45,45
4,4,4,2,3,3,2,1,2,1,4,3,3,2,3,3,2,1978,2,3,15,1,3,50- 60,50-60,60,60
1,2,2,4,2,1,1,4,4,3,4,2,2,2,2,1,2,1987,2,6,3,4,2,38,38,38,38
3,3,3,3,2,2,1,3,3,3,4,3,4,3,3,3,2,1966,2,1,15,1,3,30,30,30,30
3,3,3,3,2,1,1,3,3,3,4,3,4,4,3,3,2,1959,2,5,9,4,6,42,42,42,42
4,3,3,3,3,3,1,1,2,1,5,5,5,4,4,3,1,1971,1,1,6,1,3,60,60,60,60
3,3,4,4,1,1,2,3,3,2,2,3,1,1,1,2,1,1980,1,1,15,1,2,65,65,65,65
3,4,4,2,2,2,2,2,2,1,3,3,3,4,4,3,2,1987,2,1,13,4,2,50-60,50-60,60,60
2,2,2,3,2,2,2,3,3,2,4,3,3,2,1,2,2,1979,1,3,15,1,3,ca 45,approximately 45,45,45
4,4,4,1,4,3,1,2,2,2,4,4,3,2,3,2,1,1964,2,9,13,1,1,50,50,50,50
3,3,3,2,4,3,2,1,2,2,4,4,3,2,3,3,2,1981,4,1,13,4,3,48,48,48,48
4,4,4,1,4,3,1,1,1,1,4,4,4,1,4,4,1,,7,9,15,1,5,50,50,50,50
3,3,3,3,2,2,3,3,3,2,4,4,3,3,3,2,2,1988,2,11,13,4,2,45,45,45,45
3,3,2,4,2,1,1,3,4,4,3,2,1,2,2,2,2,1987,3,3,13,1,4,40,40,40,40
2,2,2,3,3,3,3,2,2,1,4,3,3,3,3,3,2,1977,4,1,15,1,1,7,7,7,7
4,3,4,1,3,3,1,1,2,1,5,5,3,4,4,3,2,1986,2,1,2,3,3,55,55,55,55
3,4,4,3,2,1,1,4,4,3,3,3,2,1,1,2,2,1971,1,3,13,1,5,50,50,50,50
4,3,4,2,2,2,2,2,3,2,3,4,4,4,4,3,2,1960,2,9,9,1,4,50 bis 60,50 to 60,60,60
3,4,3,2,2,1,1,2,3,3,4,3,3,2,4,3,2,1970,2,11,3,4,4,60,60,60,60
3,3,2,3,2,3,3,3,2,2,4,2,3,4,3,2,2,1979,2,6,4,4,3,45,45,45,45
4,4,4,2,3,2,2,4,3,4,4,4,4,3,4,2,1,1955,1,3,15,1,6,50,50,50,50
3,2,3,3,3,2,2,2,2,1,3,4,3,3,4,3,2,1980,2,1,4,4,2,30,30,30,30
4,4,4,3,3,3,2,3,2,2,4,4,3,2,2,2,2,1968,1,2,13,1,3,100,100,100,100
3,3,3,2,3,2,2,2,2,2,5,4,4,4,4,3,2,1988,2,1,2,4,3,65,65,65,65
3,3,3,2,2,2,3,3,2,1,4,3,3,3,3,2,2,1990,2,1,15,1,1,30,30,30,30
2,1,1,3,3,3,3,3,2,4,3,2,1,1,2,2,2,1989,2,11,13,4,2,20,20,20,20
4,3,2,3,3,2,1,3,3,2,4,4,4,4,4,2,2,1979,2,1,4,4,3,50-60,50-60,60,60
2,3,3,2,2,2,1,2,3,4,4,3,3,1,3,3,2,1970,9,13,15,3,4,33,33,33,33
2,2,2,2,3,2,2,3,3,3,2,2,2,1,1,2,1,,1,3,15,2,2,40,40,40,40
1,1,1,1,1,1,1,3,3,3,3,2,1,1,1,1,2,1948,7,11,15,4,4,"unterschiedlich, etwa 20","different, about 20",20,20
3,3,3,3,3,2,2,3,3,2,3,2,3,4,3,2,2,1962,1,1,9,3,4,40,40,40,40
3,4,3,2,3,3,2,2,2,1,4,4,4,2,3,3,2,1990,2,1,13,1,1,25,25,25,25
4,4,4,1,4,3,2,2,1,1,5,5,5,4,4,4,2,1972,1,1,2,2,4,50,50,50,50
2,3,2,3,3,3,3,2,2,2,3,3,4,2,3,2,2,1959,1,3,9,1,5,48,48,48,48
1,2,2,3,2,2,1,3,3,2,3,3,2,1,3,4,1,1955,1,3,15,1,4,40-50,40-50,50,50
3,3,3,1,3,3,2,1,2,1,4,3,4,3,2,2,2,1989,2,3,9,1,3,60,60,60,60
3,1,4,2,3,3,1,1,4,2,4,4,4,3,4,3,2,1988,2,3,9,1,3,60-70,60-70,70,70
2,3,1,3,2,1,1,2,4,2,3,2,1,1,2,2,2,1988,2,11,9,4,1,40,40,40,40
3,2,3,1,1,2,1,1,3,4,4,3,4,2,3,1,1,1961,1,2,2,2,6,60,60,60,60
3,2,3,1,4,3,2,1,3,1,4,3,4,4,4,2,2,1974,2,1,10,4,2,50,50,50,50
2,3,4,4,4,2,2,2,2,2,4,3,3,1,4,2,1,1987,2,3,13,4,2,50,50,50,50
3,3,2,1,4,2,2,2,1,1,4,4,3,2,2,4,1,1990,2,1,4,4,1,40,40,40,40
3,3,4,2,3,2,1,2,2,3,4,4,2,1,3,2,2,1980,2,9,13,4,3,44,44,44,44
1,3,2,1,2,1,1,3,3,3,4,3,3,3,3,2,2,1982,9,9,15,4,3,41,41,41,41
4,4,4,1,3,3,3,1,1,1,4,4,4,4,4,2,2,1978,2,1,15,4,3,40 - 60,40 - 60,60,60
3,3,3,1,4,3,2,1,1,1,3,3,2,2,2,3,2,1985,2,3,13,4,2,30,30,30,30
1,2,3,3,2,2,1,3,3,2,4,4,4,3,4,3,2,1967,1,1,13,3,3,35-40,35-40,40,40
3,4,4,1,4,3,3,1,1,3,5,4,4,4,4,3,2,1977,2,9,13,4,2,20,20,20,20
3,3,3,2,2,2,2,2,2,2,3,3,3,2,3,2,2,1987,2,1,13,1,2,50,50,50,50
3,3,3,4,2,2,1,3,3,3,2,2,2,1,2,1,2,1977,1,1,13,2,3,60,60,60,60
2,2,1,2,4,2,2,2,2,2,4,2,2,3,3,2,2,1971,1,1,13,4,2,35,35,35,35
3,3,3,1,4,3,2,1,2,1,2,2,1,1,1,1,1,1961,2,3,13,1,4,"ca. 40, manchmal 50","Approximately 40, sometimes 50",50,50
3,2,3,3,3,2,2,3,3,3,4,3,3,2,3,4,2,1975,2,1,15,1,2,30,30,30,30
3,2,3,4,1,1,1,3,4,3,2,2,1,1,2,2,2,1982,1,2,13,1,6,70,70,70,70
3,3,3,3,3,3,1,3,2,3,3,3,2,1,3,1,1,1946,7,1,9,4,6,60,60,60,60
3,3,3,3,2,2,2,3,2,2,4,4,4,4,4,2,2,1968,1,3,13,1,4,60,60,60,60
