ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working hours,TRANSLATE,CONVERT,REDONDEAR
2,2,2,3,3,2,2,3,3,2,2,2,1,1,2,1,2,1987,2,1,2,4,2,42,42,42,42
1,3,1,4,4,2,2,3,3,1,4,2,1,1,1,1,2,1988,2,1,2,4,1,45,45,45,45
3,3,4,2,2,3,1,1,2,2,4,4,4,3,4,4,2,1961,2,1,9,2,4,50,50,50,50
2,2,2,3,3,1,1,3,2,2,3,3,4,2,2,2,2,1971,2,1,2,1,1,45,45,45,45
4,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,1985,1,2,2,3,3,40,40,40,40
2,3,3,2,3,2,3,2,3,2,3,2,3,2,2,2,2,1987,2,1,2,4,2,"38,5",38.5,38.5,39
4,4,4,3,2,2,1,3,3,3,4,4,4,3,4,2,1,1961,2,1,2,1,5,42,42,42,42
3,2,4,3,2,1,1,2,2,2,3,1,2,1,1,1,2,1975,1,1,2,1,3,40,40,40,40
3,2,2,3,4,2,2,2,1,2,4,2,3,3,3,2,2,1983,2,3,2,2,3,55,55,55,55
3,4,2,3,3,2,1,3,2,1,2,1,2,1,2,2,2,1983,2,1,2,2,1,15,15,15,15
3,3,3,2,4,2,1,2,2,2,3,2,2,1,2,2,1,1962,2,2,2,2,6,44,44,44,44
4,3,3,1,1,2,2,2,3,2,4,4,4,4,4,3,1,1954,1,1,6,4,5,60,60,60,60
3,3,3,3,2,2,1,3,3,3,3,2,3,2,2,2,2,1973,2,1,9,2,5,50,50,50,50
4,4,3,3,2,3,1,3,3,1,2,2,2,2,2,1,2,1987,2,1,1,2,3,60,60,60,60
3,3,4,2,2,3,1,2,3,2,3,3,3,2,3,1,1,1964,2,1,2,1,5,42,42,42,42
3,3,3,3,3,3,2,3,2,1,4,3,3,3,4,2,2,1985,2,1,10,3,3,60,60,60,60
3,3,3,1,4,2,2,2,2,1,4,4,2,2,1,1,2,1982,2,1,2,1,1,20,20,20,20
3,2,2,3,2,2,2,3,3,2,3,2,2,2,2,2,1,1983,1,3,2,2,6,55,55,55,55
4,3,3,2,3,2,2,2,2,1,5,4,4,4,4,3,2,1986,2,1,1,3,2,55,55,55,55
2,3,2,3,2,2,2,3,3,3,3,2,2,2,2,1,2,1989,2,1,2,4,2,40,40,40,40
2,3,2,3,3,2,2,3,3,1,3,3,3,2,2,2,2,1952,1,1,2,4,1,25,25,25,25
4,3,4,1,4,2,3,2,2,1,4,4,4,4,4,4,2,1989,2,1,2,1,2,65,65,65,65
3,4,2,2,3,2,4,2,3,1,4,4,4,3,4,3,1,1984,2,1,3,4,2,60,60,60,60
3,3,4,3,4,2,4,1,1,3,4,4,4,2,3,1,2,1973,2,1,3,4,3,42,42,42,42
3,2,4,4,3,2,1,4,1,3,4,3,2,2,4,1,1,1986,2,1,2,1,4,50,50,50,50
3,3,3,2,3,2,2,2,2,2,4,4,3,3,3,3,2,1972,2,1,2,2,3,60,60,60,60
3,3,3,3,3,2,1,2,2,3,3,2,3,3,2,1,1,1979,2,1,3,4,3,50,50,50,50
2,2,2,2,3,3,2,3,2,1,4,3,4,3,4,2,2,,1,1,2,1,1,65,65,65,65
3,3,3,3,1,1,1,3,3,3,4,4,3,3,3,2,2,1965,2,1,3,4,4,50-60,50-60,60,60
3,4,4,3,2,2,2,2,2,2,3,3,2,2,3,2,2,1965,9,1,2,1,1,50,50,50,50
3,4,2,3,2,2,1,3,3,2,4,3,2,2,2,2,2,1965,1,1,10,3,1,40,40,40,40
3,4,3,4,2,1,1,4,3,4,4,3,2,2,2,3,2,1986,2,1,3,4,3,50,50,50,50
3,2,2,2,4,2,3,3,2,3,4,3,2,2,3,1,2,1966,2,1,2,1,3,50,50,50,50
3,2,2,3,1,2,1,3,3,3,4,3,3,1,3,2,1,1956,1,1,2,1,6,70,70,70,70
3,2,3,3,3,3,3,3,2,2,4,2,4,2,3,2,1,1962,1,1,2,1,5,50,50,50,50
2,3,2,2,2,2,3,3,3,4,4,4,3,1,3,2,2,1986,2,2,2,2,3,46,46,46,46
3,3,4,2,3,2,3,1,1,2,4,2,2,2,2,1,2,1979,2,2,3,1,2,40,40,40,40
3,3,2,3,2,3,3,2,2,3,4,3,3,3,3,3,2,1975,2,1,3,4,3,32,32,32,32
3,2,4,1,2,1,1,3,3,3,3,4,2,2,3,2,1,1974,9,1,2,4,5,60,60,60,60
2,2,2,4,2,3,3,3,3,2,2,2,1,1,2,2,1,1944,1,1,2,1,6,60,60,60,60
3,3,3,3,2,2,2,2,3,4,4,4,3,3,3,2,2,1973,2,1,4,1,3,40,40,40,40
3,3,3,2,3,2,1,4,3,3,4,2,3,1,3,1,2,1971,9,1,9,3,4,50,50,50,50
2,2,3,3,2,2,1,3,3,3,3,3,3,1,3,3,2,1969,1,2,2,1,1,40,40,40,40
3,3,3,3,3,2,2,3,2,2,4,4,3,2,3,3,2,1977,1,1,2,2,3,48,48,48,48
3,2,3,4,2,2,2,3,3,2,3,3,2,2,1,1,2,1984,2,1,15,2,2,32,32,32,32
4,3,3,2,2,2,2,2,3,2,4,4,3,2,4,2,1,1968,1,1,2,3,5,50,50,50,50
1,2,2,3,3,2,2,3,2,3,3,3,2,1,1,2,1,1963,9,1,2,4,1,40,40,40,40
4,4,3,2,3,3,4,2,2,2,4,4,4,4,4,4,2,1982,2,1,3,4,3,50,50,50,50
3,3,3,3,3,2,2,2,2,2,4,4,4,3,4,3,2,1986,2,1,2,4,1,20,20,20,20
3,3,3,2,4,3,3,1,1,1,3,3,2,3,3,3,2,1961,2,1,2,1,1,15,15,15,15
3,3,3,2,3,2,2,2,2,1,4,4,4,4,4,3,2,1987,5,1,9,4,2,70,70,70,70
4,4,3,2,3,3,2,2,1,1,4,4,3,2,2,1,2,1989,2,2,2,4,1,15,15,15,15
3,3,4,2,3,3,2,3,3,3,3,3,3,2,3,2,1,1967,2,1,2,4,5,40,40,40,40
3,3,3,2,3,2,2,2,2,2,4,5,3,4,4,2,2,1971,2,1,2,2,1,25,25,25,25
3,3,3,2,3,2,2,2,2,2,4,4,3,2,3,2,2,1973,1,1,2,1,1,60,60,60,60
4,3,4,2,3,3,4,2,2,2,5,5,5,5,5,4,2,1969,8,2,7,1,1,25,25,25,25
4,3,4,3,3,3,1,3,3,2,3,3,3,3,3,2,2,1964,2,1,2,4,4,38,38,38,38
3,2,2,3,3,2,2,3,3,3,3,3,3,2,3,2,2,1969,2,1,2,1,1,13,13,13,13
2,3,3,3,2,2,2,3,3,3,3,2,2,2,2,2,2,1989,2,2,3,4,3,40,40,40,40
3,3,2,2,4,4,3,2,2,2,5,4,4,3,3,3,2,1971,2,1,10,4,2,40,40,40,40
3,3,3,2,3,2,2,2,3,2,3,3,4,2,3,2,2,1970,1,1,2,4,2,60,60,60,60
3,3,3,1,4,4,4,2,2,2,5,5,3,4,4,4,2,1988,2,2,2,2,1,32,32,32,32
3,3,3,2,3,3,3,2,3,2,4,3,4,2,3,2,1,1982,2,1,9,4,3,50,50,50,50
3,2,3,2,2,2,2,3,3,3,3,3,2,3,2,3,2,1963,9,1,2,1,5,50,50,50,50
3,3,2,3,1,1,1,3,3,2,4,3,2,1,1,2,1,1990,2,1,9,4,2,40,40,40,40
2,2,2,3,3,1,1,3,3,2,4,2,1,1,1,2,2,1984,9,1,2,4,1,35,35,35,35
3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,1,2,1989,9,2,9,4,1,40,40,40,40
2,2,3,4,4,3,3,4,2,2,3,2,3,1,2,1,2,1983,2,1,9,4,3,50,50,50,50
2,2,2,3,3,2,2,3,3,3,3,2,2,2,1,1,2,1989,2,1,9,1,2,40,40,40,40
3,2,3,3,4,2,3,2,2,1,4,3,3,3,3,2,2,1988,9,1,2,4,4,50,50,50,50
2,2,2,3,2,2,2,2,2,1,3,3,3,3,3,2,1,1989,2,2,15,1,2,40,40,40,40
4,3,4,2,3,3,1,2,3,1,4,5,3,3,4,4,2,1990,2,1,2,4,2,50-60,50-60,60,60
2,2,3,4,3,1,1,3,3,2,4,3,2,2,2,2,1,1971,2,1,9,1,4,42,42,42,42
3,2,2,3,3,2,4,2,2,1,4,3,2,3,4,3,2,1988,2,1,9,4,1,ca. 40,approximately 40,40,40
3,2,3,3,2,2,1,3,3,1,4,3,2,3,3,2,2,1989,2,1,2,4,1,50,50,50,50
3,2,2,3,2,2,2,3,3,2,2,2,3,2,2,1,2,1990,2,1,9,4,2,50,50,50,50
3,3,3,3,3,2,2,3,2,1,4,4,2,2,3,2,1,1988,2,3,9,4,1,60 bis 70,60 to 70,70,70
2,3,3,3,2,2,2,3,3,2,4,4,3,4,4,3,2,1983,2,2,9,3,2,45,45,45,45
3,3,3,3,3,2,2,3,3,3,4,3,3,2,2,2,2,1984,2,1,9,3,4,51,51,51,51
3,3,3,2,1,3,2,3,3,2,4,2,2,2,3,2,2,1989,2,2,9,4,1,50,50,50,50
3,2,3,2,2,2,2,2,3,1,3,3,3,1,1,2,2,1990,2,1,9,4,1,45,45,45,45
3,2,3,3,2,1,1,3,3,2,4,4,3,2,4,1,2,1990,9,1,9,4,2,45,45,45,45
3,3,3,2,3,2,1,2,2,2,4,4,4,3,3,3,2,1961,2,1,2,2,4,40,40,40,40
3,3,3,3,2,2,2,3,3,3,4,3,3,2,3,2,2,1977,2,1,9,4,3,60,60,60,60
3,2,3,1,2,2,2,1,2,1,5,2,2,2,3,2,2,1990,2,1,9,3,2,50,50,50,50
3,4,3,2,3,2,1,3,2,2,2,1,3,1,2,1,1,1959,2,1,9,1,6,60,60,60,60
3,4,4,3,4,2,3,3,2,2,4,4,4,4,4,3,2,1966,2,1,9,4,1,33,33,33,33
4,2,4,3,4,2,2,3,2,1,5,4,4,5,5,4,2,1989,2,2,2,2,1,56,56,56,56
2,2,2,3,2,2,1,3,3,2,2,2,2,1,1,1,2,1990,2,1,9,4,2,40,40,40,40
4,3,3,1,2,3,1,1,2,3,4,4,4,4,4,4,1,1970,2,1,2,1,4,42,42,42,42
3,3,3,3,4,2,2,4,3,1,3,3,3,1,2,2,2,1969,1,1,2,2,1,50,50,50,50
2,2,2,3,2,1,2,3,3,2,3,1,2,1,2,1,2,1989,2,1,9,3,1,40,40,40,40
3,3,3,2,4,3,4,2,1,2,4,4,4,4,4,4,2,1977,2,1,9,4,2,24,24,24,24
4,4,4,4,4,2,1,3,2,2,5,5,5,4,5,4,2,1977,2,1,2,1,4,50,50,50,50
3,3,3,3,2,1,1,3,3,2,3,4,4,2,3,1,2,1977,1,1,2,1,4,40,40,40,40
4,3,2,2,2,2,1,4,3,3,4,4,3,3,3,2,2,1982,2,1,9,2,3,40,40,40,40
3,2,3,3,3,2,1,3,3,2,2,3,2,2,2,2,2,1990,2,1,9,3,1,50,50,50,50
3,3,2,3,4,2,4,3,1,3,5,4,4,4,4,3,2,1981,2,1,2,4,3,35,35,35,35
2,2,2,3,4,3,2,2,1,1,3,3,2,1,1,2,2,1990,2,1,9,4,1,47,47,47,47
2,3,2,4,4,2,1,4,4,3,3,3,2,2,2,2,2,1964,2,2,2,1,3,40-50,40-50,50,50
3,4,4,2,2,2,2,2,3,2,4,3,3,2,3,1,2,1962,2,1,9,1,5,45,45,45,45
3,3,2,3,2,2,2,3,2,2,3,2,2,1,2,1,2,1991,2,1,9,4,2,50,50,50,50
4,3,3,1,4,2,2,3,1,1,3,4,4,4,3,3,1,1990,2,1,13,4,1,70,70,70,70
2,2,2,3,3,2,2,2,3,3,4,2,3,3,3,4,2,1989,2,1,9,4,1,44,44,44,44
2,3,2,3,2,2,1,3,3,4,3,3,3,1,2,1,2,1964,1,1,2,1,6,30,30,30,30
2,3,2,1,4,4,3,2,2,2,4,3,3,3,3,2,2,1986,2,2,9,3,3,50,50,50,50
3,2,3,3,3,2,2,3,2,2,4,4,2,3,3,2,2,1991,2,1,9,4,2,40,40,40,40
2,3,2,3,3,2,1,3,4,2,4,4,2,1,1,2,1,1990,2,1,9,4,1,40,40,40,40
4,3,3,2,3,3,2,2,2,2,4,4,4,4,4,2,2,1974,2,1,13,2,2,45,45,45,45
2,3,2,3,3,2,2,3,2,2,3,2,2,2,1,1,2,1970,1,2,2,1,1,8,8,8,8
2,2,3,2,4,2,2,2,2,1,4,4,4,4,4,2,2,1976,1,1,10,2,2,25,25,25,25
2,2,2,3,3,3,3,2,2,1,2,2,2,1,2,2,2,1991,9,1,9,4,1,45,45,45,45
4,3,2,2,3,2,2,1,1,3,3,3,2,1,2,2,2,1982,2,1,2,4,3,45,45,45,45
4,2,3,1,3,3,2,1,4,1,4,2,3,2,2,3,2,1977,4,3,2,2,2,Bis 60,Up to 60,60,60
4,4,4,3,2,2,2,3,3,2,4,4,3,2,2,1,2,1975,2,1,9,4,3,65,65,65,65
4,3,2,3,2,3,1,2,3,2,4,4,4,4,4,3,2,1988,2,1,9,4,2,46,46,46,46
3,3,3,1,2,2,2,2,3,2,3,3,2,2,3,2,2,1963,2,1,9,3,6,60,60,60,60
4,4,3,1,4,3,4,2,1,1,4,3,3,3,4,2,2,1974,2,1,3,4,3,60,60,60,60
4,4,4,2,4,2,1,2,2,2,4,4,4,4,4,4,2,1971,2,1,3,4,3,60,60,60,60
4,4,4,2,4,2,2,2,1,2,4,3,4,4,4,4,2,1966,2,1,15,1,6,50-60,50-60,60,60
1,2,1,3,2,1,1,3,3,3,2,1,1,1,1,1,2,1992,2,2,2,1,3,40-50,40-50,50,50
3,3,3,3,2,1,1,3,3,3,4,3,3,3,4,3,2,1982,2,1,9,4,3,43,43,43,43
2,2,2,4,4,2,1,3,2,2,3,3,2,1,1,2,2,1982,2,1,2,2,2,35,35,35,35
3,4,4,2,3,3,4,2,1,3,4,3,4,4,4,3,1,1981,2,1,9,4,4,45,45,45,45
3,4,3,3,3,2,1,3,1,3,4,3,3,1,3,2,2,1983,2,2,9,4,2,45,45,45,45
3,3,2,2,3,4,3,2,2,1,4,4,4,3,4,3,2,1986,2,1,9,4,2,50,50,50,50
2,3,3,2,4,2,1,2,2,2,3,2,1,1,1,1,2,1962,2,2,4,1,4,40-50,40-50,50,50
3,2,2,1,4,3,2,1,2,1,4,3,1,1,2,2,2,1968,2,1,7,3,2,20,20,20,20
2,2,3,2,3,3,3,2,1,2,3,1,2,1,2,2,2,1986,2,2,2,4,2,45,45,45,45
3,2,2,3,1,2,2,3,3,2,2,2,2,1,1,1,1,1948,1,1,15,2,4,28,28,28,28
4,3,4,1,3,3,3,4,1,1,4,4,4,3,3,3,2,1987,2,1,2,1,2,50,50,50,50
3,3,3,4,2,1,2,3,4,3,4,2,2,1,2,2,1,1972,2,1,9,3,4,45,45,45,45
3,3,3,3,3,2,2,2,2,1,4,4,4,3,4,2,1,1977,2,1,4,1,2,70,70,70,70
2,3,2,3,3,2,4,3,3,3,3,3,1,1,2,2,2,1984,2,1,3,4,3,40-50,40-50,50,50
3,2,3,2,1,1,2,2,3,3,4,4,3,2,3,2,2,1993,2,1,9,2,1,32,32,32,32
3,2,3,2,3,1,1,3,3,3,4,4,3,3,3,3,2,1978,1,1,13,2,2,30,30,30,30
3,3,2,3,2,1,1,2,3,2,4,3,3,2,3,1,2,1986,2,1,9,4,1,40,40,40,40
3,1,1,4,1,1,1,3,3,4,1,1,2,1,1,1,1,1939,7,3,7,3,5,60-65,60-65,65,65
4,4,4,1,3,3,2,3,2,2,4,4,3,3,4,4,2,1984,3,2,2,1,2,50,50,50,50
4,4,3,3,1,2,2,4,4,4,4,4,4,3,4,2,2,1988,2,2,2,3,4,42,42,42,42
3,4,4,1,3,3,1,2,3,2,4,4,4,3,4,3,2,1975,1,1,2,1,5,70,70,70,70
2,2,3,2,4,2,2,2,3,3,3,3,3,2,3,2,1,1964,2,1,2,2,6,42,42,42,42
3,4,4,1,1,1,1,1,3,4,2,2,2,1,2,1,1,1959,2,1,10,2,6,60,60,60,60
1,2,1,3,4,1,1,3,4,3,2,2,2,1,1,2,1,1941,7,1,2,4,1,2,2,2,2
4,3,3,3,2,2,1,3,3,2,4,4,2,3,3,2,1,1967,1,1,2,1,6,70,70,70,70
1,3,2,3,3,2,1,2,2,2,1,2,1,1,1,2,1,1965,1,2,2,1,4,35,35,35,35
4,4,3,4,3,1,1,2,2,1,4,2,1,2,4,1,2,1984,2,4,9,3,2,60,60,60,60
3,3,3,1,4,4,2,3,1,1,5,4,4,3,4,3,1,1990,2,1,9,4,1,60,60,60,60
2,2,1,3,4,2,2,2,2,1,4,2,2,2,3,3,1,1954,1,1,2,2,4,40,40,40,40
2,2,2,3,3,2,2,3,3,3,2,1,1,1,1,1,1,1944,2,2,2,1,3,durchschnittlich 20 - 30,on average 20 - 30,30,30
3,3,2,3,3,2,2,3,3,1,3,3,3,2,2,2,1,1950,1,1,9,1,4,50,50,50,50
4,3,3,1,4,4,4,1,1,3,4,4,4,4,4,4,2,1970,5,1,2,4,6,70,70,70,70
4,3,3,3,3,1,2,3,3,2,4,3,4,3,3,2,2,1967,2,2,3,4,3,50-60,50-60,60,60
2,2,2,4,2,1,2,4,3,2,4,3,3,2,2,2,2,1981,2,2,9,4,4,60,60,60,60
3,2,2,3,4,1,1,4,4,4,1,2,2,1,2,1,1,1944,7,1,9,1,1,55,55,55,55
3,2,3,2,2,2,1,2,3,2,4,3,1,1,2,1,1,1988,2,1,13,4,3,45,45,45,45
3,3,2,2,4,2,2,3,2,2,4,4,3,3,4,3,1,1951,1,1,2,2,3,40,40,40,40
3,3,4,3,1,2,1,3,3,3,4,4,3,4,4,4,2,1987,2,1,9,1,4,80,80,80,80
2,2,3,3,3,3,2,3,2,2,3,3,2,1,2,1,1,1951,1,1,15,2,3,40,40,40,40
3,3,2,3,4,3,2,2,1,1,5,4,4,4,4,3,2,1982,5,1,6,2,1,45,45,45,45
2,3,3,2,3,3,1,2,2,3,4,4,3,3,3,2,1,1966,2,1,2,4,5,45,45,45,45
2,4,3,3,4,2,2,4,2,2,4,3,2,2,4,2,2,1989,2,1,2,4,4,42,42,42,42
3,3,2,3,2,1,1,4,2,2,3,2,1,1,2,1,2,1971,2,1,3,4,2,32,32,32,32
2,2,4,3,1,2,2,3,3,2,3,3,3,2,3,1,2,1990,2,1,9,4,1,55,55,55,55
4,3,4,1,4,1,1,1,1,2,3,3,4,2,3,2,2,1985,1,1,2,1,2,60,60,60,60
2,3,3,3,3,3,4,2,2,3,4,3,3,2,1,2,2,1984,2,1,13,3,3,45,45,45,45
2,3,2,3,3,2,1,3,2,4,4,4,4,3,4,3,2,1987,2,1,2,4,4,45,45,45,45
3,2,3,4,1,3,1,1,3,2,3,3,3,2,2,2,1,1953,1,1,2,1,6,60,60,60,60
2,2,2,3,3,3,2,3,2,2,3,2,2,1,2,1,2,1984,2,1,10,4,3,35,35,35,35
2,2,2,2,2,2,1,2,2,2,3,3,3,1,1,1,2,1978,2,1,2,2,1,40,40,40,40
4,2,3,2,2,2,1,2,2,2,5,4,4,3,4,4,2,1996,9,1,9,4,1,65,65,65,65
3,2,4,2,4,2,3,1,1,1,4,4,4,3,4,4,2,1978,1,2,15,4,2,60,60,60,60
3,2,3,3,3,3,1,2,3,1,5,4,5,4,5,3,2,1979,2,1,9,4,2,70,70,70,70
4,4,4,3,3,3,3,2,2,1,3,3,2,1,2,2,1,1978,2,1,9,4,4,70,70,70,70
3,3,2,4,3,2,1,2,3,1,3,1,1,1,1,1,1,1947,1,1,2,4,5,36,36,36,36
3,3,2,2,3,2,2,2,2,2,4,3,2,3,3,2,2,1987,2,2,2,4,2,40,40,40,40
3,4,3,3,2,1,1,2,4,3,2,2,2,2,1,1,1,1960,1,1,2,2,6,90,90,90,90
2,2,2,4,4,2,2,3,1,2,4,3,2,2,4,1,2,1982,2,1,2,4,1,10,10,10,10
4,4,4,3,3,3,1,2,3,2,4,4,4,4,4,3,2,1980,1,3,13,2,2,60,60,60,60
4,4,4,3,3,3,2,2,2,3,5,5,5,4,4,5,2,1963,1,1,2,2,5,60,60,60,60
3,2,3,3,3,2,1,2,2,2,3,3,5,4,4,2,2,1988,2,1,11,2,2,45,45,45,45
4,4,4,2,1,1,1,2,4,4,3,2,1,1,2,1,1,1963,1,2,9,1,6,70,70,70,70
3,3,3,4,4,3,2,3,3,1,4,4,4,4,4,4,2,1964,2,2,15,4,3,40,40,40,40
4,2,4,3,2,2,1,2,2,1,5,5,4,5,5,3,2,1967,1,1,9,1,3,60,60,60,60
3,2,3,3,3,2,1,3,3,2,3,3,2,2,1,2,2,1983,2,1,2,3,2,45,45,45,45
3,3,4,3,2,2,1,4,4,3,4,4,4,3,4,2,2,1961,1,1,2,2,5,65,65,65,65
3,3,3,2,2,1,2,2,2,1,3,2,2,2,3,1,1,1987,2,1,13,9,3,50,50,50,50
3,3,3,3,2,2,1,3,3,3,2,2,2,1,2,2,1,1978,2,1,2,1,4,50,50,50,50
3,3,2,3,2,3,2,3,3,2,3,3,4,3,3,2,1,1959,1,1,2,3,6,60,60,60,60
4,4,4,3,1,2,1,3,4,2,4,4,2,3,3,1,1,1968,1,1,2,2,1,70,70,70,70
3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,1,1958,2,2,2,1,4,50,50,50,50
4,4,2,4,3,1,1,3,4,3,4,4,2,1,2,1,2,1986,2,1,2,1,2,30,30,30,30
2,2,3,3,3,2,1,3,3,3,4,3,2,1,2,1,1,1977,2,1,3,2,5,40,40,40,40
4,4,4,2,3,2,2,2,2,1,4,3,3,3,3,2,2,1975,2,1,13,4,2,35,35,35,35
4,4,4,3,3,4,3,3,3,3,5,5,5,4,4,4,1,1966,2,2,2,2,4,60,60,60,60
3,3,2,2,3,2,1,3,3,3,4,4,1,3,3,2,2,1991,2,2,9,3,2,55,55,55,55
3,2,3,3,3,4,2,2,3,1,5,4,2,3,3,3,2,1986,2,1,9,2,2,45,45,45,45
3,2,3,3,2,2,2,2,3,3,4,3,3,2,3,2,2,1984,2,1,9,1,6,50,50,50,50
3,3,2,3,2,2,2,3,3,2,4,3,2,2,2,1,1,1984,2,1,3,4,2,60,60,60,60
4,4,4,2,4,3,2,2,2,1,3,3,3,2,3,2,1,1976,2,1,2,2,3,50,50,50,50
2,2,2,4,3,1,2,3,2,2,4,3,3,3,3,2,2,1976,2,1,2,1,2,30,30,30,30
2,2,3,3,2,2,2,3,2,2,4,4,4,4,4,4,2,1973,2,1,2,1,1,10,10,10,10
3,2,3,1,3,2,2,1,1,1,3,3,4,2,3,2,2,1976,5,3,2,2,2,,#VALUE!,#VALUE!,0
2,3,1,2,4,4,4,3,2,3,4,4,4,4,4,2,2,1957,1,1,2,1,2,30,30,30,30
3,4,3,2,3,3,2,2,2,1,4,4,3,3,5,4,2,1960,1,1,2,1,1,40,40,40,40
3,2,3,3,2,3,1,3,3,3,4,4,4,2,3,3,1,1965,2,1,8,1,6,60,60,60,60
3,3,3,1,1,2,2,3,3,1,3,2,4,2,3,2,2,1986,2,1,9,1,2,65,65,65,65
2,2,3,3,3,1,2,2,2,2,3,2,2,1,1,2,2,1988,2,1,10,3,3,40,40,40,40
3,2,2,2,4,2,1,2,2,2,4,4,2,2,2,1,2,1979,2,1,2,1,1,22,22,22,22
3,3,3,4,2,2,1,2,3,2,4,3,3,2,2,2,2,1985,2,1,2,2,3,60,60,60,60
3,4,3,1,3,3,3,1,2,2,4,4,4,4,4,4,1,1984,2,1,9,4,3,50,50,50,50
3,3,3,2,3,2,2,2,2,3,4,4,4,4,4,3,2,1969,2,1,2,2,5,50 - 60,50 - 60,60,60
3,3,3,2,3,2,2,2,3,2,5,5,5,4,4,3,2,1989,1,1,9,3,3,45,45,45,45
3,3,3,3,1,1,1,3,3,3,4,4,3,2,3,1,1,1981,2,1,15,4,4,50-60,50-60,60,60
4,4,3,3,2,3,2,2,2,1,4,4,3,3,3,2,2,1982,2,1,2,4,3,55,55,55,55
3,3,2,1,3,3,2,2,2,3,5,5,5,4,5,4,2,1986,2,3,13,2,2,65,65,65,65
2,2,1,2,3,1,2,3,3,4,5,4,3,3,3,3,2,1981,1,1,2,2,1,10,10,10,10
2,4,4,1,4,2,4,1,2,1,4,3,4,3,3,1,2,1988,2,3,13,4,2,45,45,45,45
3,2,2,4,2,2,1,3,3,2,4,4,4,4,4,3,2,1978,2,1,2,1,1,12,12,12,12
4,3,2,3,3,3,2,3,2,3,4,4,4,3,3,3,2,1988,2,1,6,2,3,43,43,43,43
4,3,3,4,2,1,1,4,4,3,3,3,3,3,3,2,2,1976,2,2,8,1,4,55,55,55,55
2,2,1,3,4,2,2,2,2,1,4,4,3,3,4,2,2,1972,2,2,1,1,1,16,16,16,16
2,2,2,1,3,3,2,1,2,2,4,3,4,2,3,2,1,1980,2,1,15,2,3,70,70,70,70
4,2,3,4,1,1,1,4,3,2,4,4,4,3,4,3,2,1985,2,1,13,1,1,40,40,40,40
3,2,3,3,2,1,2,3,3,2,3,3,2,1,3,1,2,1991,2,1,1,3,1,,#VALUE!,#VALUE!,0
1,1,1,3,4,4,3,3,2,3,3,3,2,2,2,2,1,1951,1,3,2,2,5,24,24,24,24
3,3,3,3,1,1,1,4,4,4,3,3,2,2,2,2,2,1968,1,1,10,2,6,35,35,35,35
3,3,2,3,1,3,2,3,3,2,4,4,4,3,3,4,1,1954,1,2,7,1,6,60,60,60,60
2,2,4,4,4,2,1,3,1,1,3,2,2,2,2,1,2,1968,2,1,9,1,9,,#VALUE!,#VALUE!,0
4,4,4,3,3,3,1,2,3,3,4,3,3,4,3,2,2,1970,2,1,2,1,3,40,40,40,40
1,1,1,1,1,1,4,2,3,4,3,1,3,1,1,1,2,1974,2,1,9,2,2,12,12,12,12
3,4,3,3,3,3,2,2,2,2,5,5,5,4,4,4,1,1954,1,1,2,1,6,98,98,98,98
2,2,1,2,3,3,3,2,2,2,2,2,1,1,1,1,2,1959,1,1,9,2,2,35,35,35,35
4,3,4,3,4,1,1,4,2,2,4,4,4,4,4,4,2,1975,2,1,2,4,2,22,22,22,22
3,2,3,3,1,1,1,3,4,4,3,3,3,1,2,2,2,1966,2,1,10,4,3,40,40,40,40
4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,1,1,1970,1,1,2,4,6,50-60,50-60,60,60
3,4,3,3,4,2,1,2,2,2,4,3,4,3,4,2,2,1984,2,1,10,2,2,50,50,50,50
3,2,3,3,1,1,3,3,3,1,4,2,3,2,3,1,2,1990,2,1,9,4,2,50,50,50,50
4,4,3,3,2,2,1,3,3,3,4,4,2,3,4,1,1,1962,1,1,9,1,5,80,80,80,80
4,4,4,3,2,3,1,4,3,3,4,4,4,3,4,3,1,1964,2,1,2,3,6,60,60,60,60
3,3,3,3,3,2,1,3,2,3,3,2,2,3,3,2,2,1982,2,1,9,3,6,45,45,45,45
3,4,2,4,2,1,1,4,4,2,2,2,1,1,1,1,2,1985,2,1,2,4,3,50,50,50,50
2,2,2,2,3,3,3,3,3,2,4,4,4,2,2,3,2,1981,2,1,9,1,2,26,26,26,26
4,4,4,2,3,2,1,2,2,2,3,2,2,1,2,2,2,1984,2,1,2,1,3,45,45,45,45
3,2,2,3,2,2,1,3,3,3,2,2,2,2,2,1,2,1979,2,1,4,2,3,40-45,40-45,45,45
2,2,1,3,2,2,2,3,3,3,4,3,2,2,3,2,2,1977,2,1,9,1,2,22,22,22,22
2,3,3,1,4,2,2,2,2,1,4,4,2,1,3,3,1,1965,1,1,4,2,2,mindestens 50,at least 50,50,50
3,2,3,2,3,2,1,3,2,2,4,4,4,4,4,4,2,1977,2,1,9,4,1,40,40,40,40
3,3,2,3,3,3,4,3,2,4,3,3,2,2,2,2,2,1967,2,1,2,4,2,23,23,23,23
