ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,age,CBI_SCORE,Burnout_Score
Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,Often,Often,Often,Always,Female,1968.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,3. 2000 to 3000 eur,30,58.0,70.8,1
Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Often,Sometimes,Often,Often,Often,Sometimes,Female,1990.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,40,36.0,66.7,1
Strongly disagree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Often,Often,Often,Often,Often,Often,Female,1970.0,Employed,Industry Field Service,Saxony (Sachsen),20000 pop. aprox.,3. 2000 to 3000 eur,35,56.0,75.0,1
Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Often,Sometimes,Often,Often,Always,Male,1971.0,Employed,Industry Field Service,Saxony (Sachsen),100000 pop. aprox.,5. 4000 to 5000 eur,45,55.0,70.8,1
Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1976.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,4. 3000 to 4000 eur,45,50.0,29.2,0
Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Sometimes,Often,Sometimes,Often,Seldom,Sometimes,Female,1977.0,Employed,Industry Field Service,Saxony (Sachsen),20000 pop. aprox.,4. 3000 to 4000 eur,40,49.0,54.2,1
Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Sometimes,Sometimes,Sometimes,Often,Often,Often,Female,1961.0,Employed,Other,Saxony (Sachsen),5000 pop. aprox.,5. 4000 to 5000 eur,50,65.0,62.5,1
Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Female,1986.0,Employed,Horses,Saxony (Sachsen),5000 pop. aprox.,2. 1000 to 2000 eur,60,40.0,41.7,0
Disagree,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Sometimes,Often,Always,Always,Always,Always,Female,1988.0,Self-Employed,Small Animal Medicine,Saxony-Anhalt,50000 pop. aprox.,2. 1000 to 2000 eur,40,38.0,87.5,1
Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Seldom,Sometimes,Often,Often,Sometimes,Often,Female,1988.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,45,38.0,58.3,1
Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Often,Always,Often,Often,Female,1989.0,Employed,Research,Berlin,100000 pop. aprox.,1. less than 1000 eur,40,37.0,70.8,1
Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Female,1956.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,5. 4000 to 5000 eur,40,70.0,50.0,1
Disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Agree,Seldom,Often,Sometimes,Always,Sometimes,Often,Male,1987.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,3. 2000 to 3000 eur,40,39.0,62.5,1
Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Seldom,Sometimes,Often,Always,Seldom,Always,Male,1957.0,Self-Employed,Horses,Brandenburg,5000 pop. aprox.,5. 4000 to 5000 eur,70,69.0,62.5,1
Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Often,Sometimes,Often,Often,Often,Male,1987.0,Employed,Research,Saxony (Sachsen),5000 pop. aprox.,3. 2000 to 3000 eur,50,39.0,66.7,1
Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Female,1988.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,30,38.0,41.7,0
Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Seldom,Sometimes,Often,Sometimes,Often,Female,1983.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,50,43.0,45.8,0
Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Seldom,Always,Always,Always,Often,Often,Male,1965.0,Employed,Other,Saxony (Sachsen),50000 pop. aprox.,5. 4000 to 5000 eur,43,61.0,79.2,1
Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Always,Often,Often,Always,Often,Often,Female,1963.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,5. 4000 to 5000 eur,50,63.0,83.3,1
Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1979.0,Self-Employed,Small Animal Medicine,Saxony (Sachsen),5000 pop. aprox.,2. 1000 to 2000 eur,45,47.0,25.0,0
Disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Sometimes,Often,Often,Always,Always,Always,Female,1987.0,Employed,Small Animal Medicine,Brandenburg,5000 pop. aprox.,2. 1000 to 2000 eur,30,39.0,83.3,1
Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Seldom,Seldom,Sometimes,Seldom,Seldom,Often,Female,1970.0,Employed,Research,Saxony (Sachsen),20000 pop. aprox.,5. 4000 to 5000 eur,40,56.0,37.5,0
Disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Always,Often,Always,Always,Always,Always,Male,1969.0,Employed,Research,Bavaria,5000 pop. aprox.,4. 3000 to 4000 eur,42,57.0,95.8,1
Agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Seldom,Sometimes,Sometimes,Often,Sometimes,Often,Female,1966.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,4. 3000 to 4000 eur,45,60.0,54.2,1
Agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Seldom,Often,Often,Sometimes,Sometimes,Sometimes,Male,1989.0,Employed,University,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,45,37.0,54.2,1
Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Seldom,Sometimes,Sometimes,Often,Sometimes,Often,Female,1986.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,50,40.0,54.2,1
Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1983.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,50,43.0,25.0,0
Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Often,Often,Often,Often,Female,1972.0,Employed,Small Animal Medicine,Saxony (Sachsen),20000 pop. aprox.,2. 1000 to 2000 eur,20,54.0,66.7,1
Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Sometimes,Sometimes,Often,Often,Often,Often,Female,1985.0,Employed,Other,Saxony (Sachsen),100000 pop. aprox.,3. 2000 to 3000 eur,45,41.0,66.7,1
Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1972.0,Currently looking for a job,Industry Field Service,Brandenburg,50000 pop. aprox.,3. 2000 to 3000 eur,50,54.0,33.3,0
Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1962.0,Self-Employed,Zoo Animals,Brandenburg,20000 pop. aprox.,1. less than 1000 eur,65,64.0,54.2,1
Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Sometimes,Often,Often,Always,Female,1977.0,Employed,Industry Field Service,Schleswig-Holstein,5000 pop. aprox.,2. 1000 to 2000 eur,35,49.0,66.7,1
Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1966.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,50000 pop. aprox.,4. 3000 to 4000 eur,50,60.0,25.0,0
Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Often,Often,Often,Always,Always,Always,Male,1980.0,Employed,Industry Field Service,Schleswig-Holstein,5000 pop. aprox.,5. 4000 to 5000 eur,39,46.0,87.5,1
Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Often,Always,Often,Always,Always,Always,Female,1981.0,Employed,Other,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,45,45.0,91.7,1
Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Seldom,Seldom,Seldom,Sometimes,Never,Seldom,Female,1978.0,Employed,Industry Field Service,Brandenburg,5000 pop. aprox.,3. 2000 to 3000 eur,45,48.0,25.0,0
Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Female,1962.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,5000 pop. aprox.,2. 1000 to 2000 eur,25,64.0,58.3,1
Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Seldom,Seldom,Sometimes,Often,Sometimes,Always,Female,1985.0,Self-Employed,Horses,Brandenburg,5000 pop. aprox.,2. 1000 to 2000 eur,70,41.0,54.2,1
Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Female,1971.0,Self-Employed,Small Animal Medicine,Niedersachsen,20000 pop. aprox.,3. 2000 to 3000 eur,50,55.0,37.5,0
Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Often,Female,1963.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,5. 4000 to 5000 eur,45,63.0,45.8,0
Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Sometimes,Often,Sometimes,Often,Often,Always,Female,1956.0,Employed,Zoo Animals,Saxony (Sachsen),5000 pop. aprox.,1. less than 1000 eur,45,70.0,70.8,1
Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Seldom,Sometimes,Often,Often,Sometimes,Sometimes,Female,1989.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,60,37.0,54.2,1
