ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,age,CBI_SCORE,Burnout_Score
Disagree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Sometimes,Sometimes,Often,Often,Often,Often,Female,1964.0,Employed,Horses,Bavaria,5000 pop. aprox.,3. 2000 to 3000 eur,50,62.0,66.7,1
Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Seldom,Sometimes,Sometimes,Often,Sometimes,Always,Female,1962.0,Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,5. 4000 to 5000 eur,45,64.0,58.3,1
Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Often,Often,Always,Often,Always,Female,1991.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,2. 1000 to 2000 eur,50,35.0,79.2,1
Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Sometimes,Seldom,Seldom,Seldom,Sometimes,Sometimes,Male,1990.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,70,36.0,37.5,0
Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Seldom,Often,Sometimes,Sometimes,Sometimes,Seldom,Female,1989.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,44,37.0,45.8,0
Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Sometimes,Sometimes,Sometimes,Always,Often,Always,Female,1964.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,6. more than 5000 eur,30,62.0,70.8,1
Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1986.0,Employed,Horses,Niedersachsen,50000 pop. aprox.,3. 2000 to 3000 eur,50,40.0,50.0,1
Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Seldom,Seldom,Often,Sometimes,Sometimes,Often,Female,1991.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,2. 1000 to 2000 eur,40,35.0,50.0,1
Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Seldom,Seldom,Often,Always,Always,Often,Male,1990.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,40,36.0,66.7,1
Strongly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Often,Female,1974.0,Employed,Small Animal Medicine,Saxony (Sachsen),20000 pop. aprox.,2. 1000 to 2000 eur,45,52.0,33.3,0
Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Often,Often,Often,Always,Always,Female,1970.0,Self-Employed,Horses,Bavaria,5000 pop. aprox.,1. less than 1000 eur,8,56.0,79.2,1
Disagree,Disagree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Often,Female,1976.0,Self-Employed,Small Animal Medicine,North Rhine-Westphalia,20000 pop. aprox.,2. 1000 to 2000 eur,25,50.0,33.3,0
Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Often,Often,Often,Always,Often,Often,Female,1991.0,Other,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,45,35.0,79.2,1
Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Sometimes,Sometimes,Often,Always,Often,Often,Female,1982.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,3. 2000 to 3000 eur,45,44.0,70.8,1
Strongly agree,Disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Seldom,Often,Sometimes,Often,Often,Sometimes,Female,1977.0,Currently looking for a job,Farm Animals,Bavaria,20000 pop. aprox.,2. 1000 to 2000 eur,60,49.0,58.3,1
Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Seldom,Seldom,Sometimes,Often,Often,Always,Female,1975.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,3. 2000 to 3000 eur,65,51.0,58.3,1
Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Agree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1988.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,2. 1000 to 2000 eur,46,38.0,29.2,0
Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Sometimes,Sometimes,Often,Often,Sometimes,Often,Female,1963.0,Employed,Small Animal Medicine,Niedersachsen,50000 pop. aprox.,6. more than 5000 eur,60,63.0,62.5,1
Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Often,Female,1974.0,Employed,Small Animal Medicine,Berlin,100000 pop. aprox.,3. 2000 to 3000 eur,60,52.0,45.8,0
Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1971.0,Employed,Small Animal Medicine,Berlin,100000 pop. aprox.,3. 2000 to 3000 eur,60,55.0,25.0,0
Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Seldom,Sometimes,Seldom,Seldom,Seldom,Seldom,Female,1966.0,Employed,Small Animal Medicine,Schleswig-Holstein,5000 pop. aprox.,6. more than 5000 eur,60,60.0,29.2,0
Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Often,Always,Always,Always,Always,Always,Female,1992.0,Employed,Horses,Bavaria,5000 pop. aprox.,3. 2000 to 3000 eur,50,34.0,95.8,1
Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Female,1982.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,3. 2000 to 3000 eur,43,44.0,41.7,0
Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Sometimes,Sometimes,Often,Always,Always,Often,Female,1982.0,Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,2. 1000 to 2000 eur,35,44.0,75.0,1
Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Seldom,Sometimes,Seldom,Seldom,Seldom,Sometimes,Male,1981.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,4. 3000 to 4000 eur,45,45.0,33.3,0
Agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Seldom,Sometimes,Sometimes,Always,Sometimes,Often,Female,1983.0,Employed,Horses,Niedersachsen,100000 pop. aprox.,2. 1000 to 2000 eur,45,43.0,58.3,1
Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1986.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,2. 1000 to 2000 eur,50,40.0,33.3,0
Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Often,Always,Always,Always,Always,Female,1962.0,Employed,Horses,Brandenburg,5000 pop. aprox.,4. 3000 to 4000 eur,50,64.0,87.5,1
Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Sometimes,Always,Always,Often,Often,Female,1968.0,Employed,Small Animal Medicine,Hessen,50000 pop. aprox.,2. 1000 to 2000 eur,20,58.0,70.8,1
Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Sometimes,Always,Often,Always,Often,Often,Female,1986.0,Employed,Horses,Bavaria,100000 pop. aprox.,2. 1000 to 2000 eur,45,40.0,79.2,1
Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Seldom,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Female,1987.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,2. 1000 to 2000 eur,50,39.0,37.5,0
Agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Seldom,Often,Often,Always,Often,Often,Male,1972.0,Employed,Small Animal Medicine,Niedersachsen,50000 pop. aprox.,4. 3000 to 4000 eur,45,54.0,70.8,1
Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Often,Male,1977.0,Employed,Small Animal Medicine,Brandenburg,5000 pop. aprox.,2. 1000 to 2000 eur,70,49.0,37.5,0
Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Sometimes,Sometimes,Always,Always,Often,Often,Female,1984.0,Employed,Small Animal Medicine,Berlin,100000 pop. aprox.,3. 2000 to 3000 eur,50,42.0,75.0,1
Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Seldom,Seldom,Sometimes,Often,Sometimes,Often,Female,1993.0,Employed,Small Animal Medicine,Niedersachsen,20000 pop. aprox.,1. less than 1000 eur,32,33.0,50.0,1
Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Female,1978.0,Self-Employed,Small Animal Medicine,Saxony (Sachsen),20000 pop. aprox.,2. 1000 to 2000 eur,30,48.0,41.7,0
Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Seldom,Sometimes,Sometimes,Often,Sometimes,Always,Female,1986.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,40,40.0,58.3,1
Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Seldom,Seldom,Sometimes,Sometimes,Seldom,Seldom,Female,1984.0,Unemployed by Choice,Horses,Bavaria,5000 pop. aprox.,2. 1000 to 2000 eur,50,42.0,33.3,0
Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Seldom,Seldom,Seldom,Sometimes,Seldom,Often,Female,1988.0,Employed,Horses,Bavaria,50000 pop. aprox.,4. 3000 to 4000 eur,42,38.0,37.5,0
Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1975.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,5. 4000 to 5000 eur,70,51.0,33.3,0
Disagree,Disagree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Male,1964.0,Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,6. more than 5000 eur,42,62.0,58.3,1
Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Often,Often,Often,Always,Often,Always,Male,1959.0,Employed,Small Animal Medicine,North Rhine-Westphalia,20000 pop. aprox.,6. more than 5000 eur,60,67.0,83.3,1
Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Seldom,Seldom,Often,Sometimes,Sometimes,Often,Male,1967.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,6. more than 5000 eur,70,59.0,50.0,1
Strongly disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Always,Often,Always,Always,Always,Often,Male,1965.0,Self-Employed,Horses,Bavaria,5000 pop. aprox.,4. 3000 to 4000 eur,35,61.0,91.7,1
Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Seldom,Often,Always,Often,Seldom,Always,Female,1984.0,Employed,Mixed practice,Niedersachsen,50000 pop. aprox.,2. 1000 to 2000 eur,60,42.0,66.7,1
Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Never,Seldom,Seldom,Sometimes,Seldom,Sometimes,Male,1990.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,60,36.0,29.2,0
Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Often,Often,Often,Sometimes,Sometimes,Male,1954.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,4. 3000 to 4000 eur,40,72.0,58.3,1
Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1970.0,Parental Leave,Small Animal Medicine,Bavaria,100000 pop. aprox.,6. more than 5000 eur,70,56.0,25.0,0
Strongly agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Often,Female,1967.0,Employed,Horses,Berlin,100000 pop. aprox.,3. 2000 to 3000 eur,60,59.0,45.8,0
Disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Seldom,Sometimes,Sometimes,Often,Often,Often,Female,1981.0,Employed,Horses,Niedersachsen,100000 pop. aprox.,4. 3000 to 4000 eur,60,45.0,58.3,1
Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Seldom,Sometimes,Always,Always,Often,Always,Male,1988.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,3. 2000 to 3000 eur,45,38.0,75.0,1
Agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Disagree,Seldom,Seldom,Sometimes,Sometimes,Seldom,Sometimes,Male,1951.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,3. 2000 to 3000 eur,40,75.0,37.5,0
Agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Seldom,Sometimes,Seldom,Seldom,Seldom,Female,1987.0,Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,4. 3000 to 4000 eur,80,39.0,29.2,0
Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Sometimes,Sometimes,Often,Always,Often,Always,Male,1951.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,20000 pop. aprox.,3. 2000 to 3000 eur,40,75.0,75.0,1
Agree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Never,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1982.0,Parental Leave,Small Animal Medicine,Hamburg,20000 pop. aprox.,1. less than 1000 eur,45,44.0,25.0,0
Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Often,Male,1966.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,5. 4000 to 5000 eur,45,60.0,45.8,0
Disagree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Seldom,Sometimes,Often,Often,Seldom,Often,Female,1989.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,4. 3000 to 4000 eur,42,37.0,54.2,1
Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Sometimes,Often,Always,Always,Often,Always,Female,1971.0,Employed,Small Animal Medicine,Berlin,100000 pop. aprox.,2. 1000 to 2000 eur,32,55.0,83.3,1
Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Always,Female,1990.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,55,36.0,62.5,1
Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Sometimes,Sometimes,Seldom,Often,Sometimes,Often,Female,1985.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,2. 1000 to 2000 eur,60,41.0,54.2,1
Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Seldom,Sometimes,Sometimes,Often,Always,Often,Female,1984.0,Employed,Small Animal Medicine,Saxony (Sachsen),50000 pop. aprox.,3. 2000 to 3000 eur,45,42.0,62.5,1
Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1987.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,4. 3000 to 4000 eur,45,39.0,33.3,0
Agree,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often,Often,Often,Male,1953.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,6. more than 5000 eur,60,73.0,62.5,1
Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Sometimes,Often,Often,Always,Often,Always,Female,1984.0,Employed,Small Animal Medicine,North Rhine-Westphalia,100000 pop. aprox.,3. 2000 to 3000 eur,35,42.0,79.2,1
Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Always,Always,Always,Female,1978.0,Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,1. less than 1000 eur,40,48.0,75.0,1
Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Never,Seldom,Seldom,Sometimes,Seldom,Seldom,Female,1996.0,Other,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,65,30.0,25.0,0
Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Seldom,Female,1978.0,Self-Employed,Horses,Schleswig-Holstein,100000 pop. aprox.,2. 1000 to 2000 eur,60,48.0,29.2,0
Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Never,Seldom,Never,Seldom,Never,Sometimes,Female,1979.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,2. 1000 to 2000 eur,70,47.0,16.7,0
Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Sometimes,Sometimes,Often,Always,Often,Often,Male,1978.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,4. 3000 to 4000 eur,70,48.0,70.8,1
Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Seldom,Sometimes,Often,Sometimes,Sometimes,Often,Female,1987.0,Employed,Horses,Bavaria,100000 pop. aprox.,2. 1000 to 2000 eur,40,39.0,54.2,1
Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Seldom,Sometimes,Often,Often,Seldom,Always,Female,1982.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,1. less than 1000 eur,10,44.0,58.3,1
Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1980.0,Self-Employed,Farm Animals,Saxony (Sachsen),20000 pop. aprox.,2. 1000 to 2000 eur,60,46.0,29.2,0
Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Never,Never,Never,Seldom,Seldom,Never,Female,1963.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,5. 4000 to 5000 eur,60,63.0,8.3,0
Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Never,Seldom,Seldom,Often,Female,1988.0,Employed,Small Animal Medicine,Rheinland-Pfalz,20000 pop. aprox.,2. 1000 to 2000 eur,45,38.0,37.5,0
Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Sometimes,Often,Always,Always,Often,Always,Male,1963.0,Self-Employed,Horses,Niedersachsen,5000 pop. aprox.,6. more than 5000 eur,70,63.0,83.3,1
Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1964.0,Employed,Horses,Schleswig-Holstein,100000 pop. aprox.,3. 2000 to 3000 eur,40,62.0,25.0,0
Strongly agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Never,Never,Seldom,Never,Never,Sometimes,Female,1967.0,Self-Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,3. 2000 to 3000 eur,60,59.0,12.5,0
Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Often,Often,Always,Often,Female,1983.0,Employed,Small Animal Medicine,Bavaria,50000 pop. aprox.,2. 1000 to 2000 eur,45,43.0,70.8,1
Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Seldom,Seldom,Seldom,Sometimes,Seldom,Often,Female,1961.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,5. 4000 to 5000 eur,65,65.0,37.5,0
Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Often,Often,Often,Always,Often,Often,Male,1978.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,4. 3000 to 4000 eur,50,48.0,79.2,1
Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Often,Male,1959.0,Self-Employed,Small Animal Medicine,Bavaria,50000 pop. aprox.,6. more than 5000 eur,60,67.0,50.0,1
Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Seldom,Seldom,Often,Sometimes,Sometimes,Always,Male,1968.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,1. less than 1000 eur,70,58.0,54.2,1
Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Male,1958.0,Employed,Horses,Bavaria,5000 pop. aprox.,4. 3000 to 4000 eur,50,68.0,54.2,1
Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Seldom,Seldom,Often,Always,Often,Always,Female,1986.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,2. 1000 to 2000 eur,30,40.0,66.7,1
Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Sometimes,Often,Always,Often,Always,Male,1977.0,Employed,Small Animal Medicine,Berlin,20000 pop. aprox.,5. 4000 to 5000 eur,40,49.0,70.8,1
Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1975.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,35,51.0,50.0,1
Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Never,Never,Never,Seldom,Seldom,Seldom,Male,1966.0,Employed,Horses,Bavaria,20000 pop. aprox.,4. 3000 to 4000 eur,60,60.0,12.5,0
Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Seldom,Always,Sometimes,Sometimes,Often,Female,1991.0,Employed,Horses,Niedersachsen,50000 pop. aprox.,2. 1000 to 2000 eur,55,35.0,54.2,1
Agree,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Never,Seldom,Often,Sometimes,Sometimes,Sometimes,Female,1986.0,Employed,Small Animal Medicine,Niedersachsen,20000 pop. aprox.,2. 1000 to 2000 eur,45,40.0,41.7,0
Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Seldom,Sometimes,Sometimes,Often,Sometimes,Often,Female,1984.0,Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,6. more than 5000 eur,50,42.0,54.2,1
Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Seldom,Sometimes,Often,Often,Often,Always,Male,1984.0,Employed,Small Animal Medicine,Berlin,100000 pop. aprox.,2. 1000 to 2000 eur,60,42.0,66.7,1
Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Male,1976.0,Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,3. 2000 to 3000 eur,50,50.0,58.3,1
Disagree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1976.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,2. 1000 to 2000 eur,30,50.0,50.0,1
Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1973.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,1. less than 1000 eur,10,53.0,25.0,0
Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Seldom,Often,Sometimes,Often,Female,1976.0,Parental Leave,Farm Animals,Bavaria,20000 pop. aprox.,2. 1000 to 2000 eur,0,50.0,54.2,1
