ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,cbi_score,Burnout_Score
3,3,3,1,1,1,1,3,3,4,75,100,75,100,100,100,2,1981.0,2,15,13,4,1,45,91.67,1
3,4,4,1,1,3,1,1,3,3,25,25,25,50,0,25,2,1978.0,2,9,4,1,3,45,25.0,0
3,3,3,3,3,2,1,2,3,2,50,50,50,75,50,75,2,1962.0,1,1,15,1,2,25,58.33,0
3,4,4,3,3,2,2,3,3,1,25,25,50,75,50,100,2,1985.0,1,2,4,1,2,70,54.17,0
3,3,3,2,2,2,2,1,2,1,25,25,25,50,50,50,2,1971.0,1,1,9,2,3,50,37.5,0
4,4,3,2,3,3,1,2,1,2,25,50,50,50,25,75,2,1963.0,2,11,13,4,5,45,45.83,0
2,3,4,2,3,3,3,2,3,3,50,75,50,75,75,100,2,1956.0,2,13,13,1,1,45,70.83,1
2,2,3,3,3,1,2,3,3,3,25,50,75,75,50,50,2,1989.0,2,1,13,4,2,60,54.17,0
3,3,3,4,3,2,1,3,2,2,75,100,75,100,100,75,2,1973.0,2,1,15,1,2,30,87.5,1
4,3,3,3,2,2,1,2,2,2,75,75,75,75,50,100,1,1972.0,1,1,15,2,5,55,75.0,1
3,3,3,3,2,2,1,4,3,4,25,25,50,75,50,50,2,1960.0,1,1,1,1,3,40,45.83,0
3,2,3,3,2,2,2,3,3,3,25,25,25,50,25,50,1,1979.0,2,3,15,3,3,60,33.33,0
3,3,3,3,2,2,2,3,3,3,25,50,25,75,25,75,1,1965.0,1,3,13,1,6,80,45.83,0
3,4,2,2,2,2,1,2,3,2,25,25,25,50,25,75,1,1962.0,1,2,15,3,1,70,37.5,0
4,2,3,2,3,3,2,2,2,3,25,25,25,25,25,50,2,1988.0,2,1,13,4,1,30,29.17,0
3,2,3,3,3,2,1,3,2,2,25,25,50,50,50,50,2,1978.0,2,3,15,1,3,80,41.67,0
2,1,4,4,3,1,1,4,4,4,25,50,75,100,100,100,2,1972.0,1,2,9,3,4,46,75.0,1
3,3,3,2,4,3,3,1,1,1,25,25,50,50,50,75,1,1968.0,1,3,15,1,3,70,45.83,0
2,3,3,2,4,2,1,2,2,2,25,25,25,25,25,25,2,1976.0,2,13,15,1,3,30,25.0,0
3,3,3,2,3,3,2,1,2,1,25,25,25,25,25,25,2,1989.0,2,1,3,4,1,30,25.0,0
3,3,4,4,1,1,1,4,4,4,25,25,50,50,25,25,1,1945.0,1,1,2,3,6,70,33.33,0
3,3,3,2,2,2,2,2,2,2,75,50,50,50,75,75,1,1967.0,1,1,15,2,4,50,62.5,0
3,3,3,2,3,3,2,2,2,2,25,25,50,50,50,50,2,1965.0,9,13,15,1,1,45,41.67,0
3,4,3,3,3,1,1,3,2,3,50,75,100,100,100,75,1,1959.0,2,9,13,2,5,40,83.33,1
3,3,3,3,2,2,2,3,3,3,0,25,25,50,25,50,2,1978.0,2,9,13,4,3,42,29.17,0
1,3,1,2,4,2,3,3,2,2,50,100,75,75,100,100,1,1961.0,2,13,15,3,3,30,83.33,1
2,2,2,2,2,3,2,3,2,2,25,25,25,25,25,50,1,1980.0,2,3,15,2,2,43,29.17,0
2,2,2,3,2,2,2,1,2,1,25,50,50,75,25,100,2,1981.0,2,1,2,3,2,42,54.17,0
1,1,1,4,2,1,1,3,3,3,75,75,100,100,100,75,2,1985.0,2,11,13,4,2,40,87.5,1
3,2,2,3,2,2,2,3,3,3,50,50,50,50,50,75,2,1991.0,6,13,4,4,1,20,54.17,0
3,4,4,3,2,3,3,2,3,2,25,25,25,75,25,50,2,1961.0,2,9,9,3,5,60,37.5,0
2,2,2,2,3,2,3,2,3,2,25,25,50,75,50,50,2,1973.0,2,3,15,1,3,30,45.83,0
3,3,3,2,2,2,1,2,2,1,25,25,25,25,25,25,2,1978.0,2,8,2,2,3,50,25.0,0
2,2,3,3,4,3,1,2,2,1,25,50,50,75,50,75,2,1985.0,2,1,15,2,2,45,54.17,0
4,4,4,2,3,3,2,1,2,1,25,50,50,75,50,50,2,1978.0,2,3,15,1,3,60,50.0,0
1,2,2,4,2,1,1,4,4,3,25,75,75,75,75,100,2,1987.0,2,6,3,4,2,38,70.83,1
3,3,3,3,2,2,1,3,3,3,25,50,25,50,50,50,2,1966.0,2,1,15,1,3,30,41.67,0
3,3,3,3,2,1,1,3,3,3,25,50,25,25,50,50,2,1959.0,2,5,9,4,6,42,37.5,0
4,3,3,3,3,3,1,1,2,1,0,0,0,25,25,50,1,1971.0,1,1,6,1,3,60,16.67,0
3,3,4,4,1,1,2,3,3,2,75,50,100,100,100,75,1,1980.0,1,1,15,1,2,65,83.33,1
3,4,4,2,2,2,2,2,2,1,50,50,50,25,25,50,2,1987.0,2,1,13,4,2,60,41.67,0
2,2,2,3,2,2,2,3,3,2,25,50,50,75,100,75,2,1979.0,1,3,15,1,3,45,62.5,0
4,4,4,1,4,3,1,2,2,2,25,25,50,75,50,75,1,1964.0,2,9,13,1,1,50,50.0,0
3,3,3,2,4,3,2,1,2,2,25,25,50,75,50,50,2,1981.0,4,1,13,4,3,48,45.83,0
4,4,4,1,4,3,1,1,1,1,25,25,25,100,25,25,1,0.0,7,9,15,1,5,50,37.5,0
3,3,3,3,2,2,3,3,3,2,25,25,50,50,50,75,2,1988.0,2,11,13,4,2,45,45.83,0
3,3,2,4,2,1,1,3,4,4,50,75,100,75,75,75,2,1987.0,3,3,13,1,4,40,75.0,1
2,2,2,3,3,3,3,2,2,1,25,50,50,50,50,50,2,1977.0,4,1,15,1,1,7,45.83,0
4,3,4,1,3,3,1,1,2,1,0,0,50,25,25,50,2,1986.0,2,1,2,3,3,55,25.0,0
3,4,4,3,2,1,1,4,4,3,50,50,75,100,100,75,2,1971.0,1,3,13,1,5,50,75.0,1
4,3,4,2,2,2,2,2,3,2,50,25,25,25,25,50,2,1960.0,2,9,9,1,4,60,33.33,0
3,4,3,2,2,1,1,2,3,3,25,50,50,75,25,50,2,1970.0,2,11,3,4,4,60,45.83,0
3,3,2,3,2,3,3,3,2,2,25,75,50,25,50,75,2,1979.0,2,6,4,4,3,45,50.0,0
4,4,4,2,3,2,2,4,3,4,25,25,25,50,25,75,1,1955.0,1,3,15,1,6,50,37.5,0
3,2,3,3,3,2,2,2,2,1,50,25,50,50,25,50,2,1980.0,2,1,4,4,2,30,41.67,0
4,4,4,3,3,3,2,3,2,2,25,25,50,75,75,75,2,1968.0,1,2,13,1,3,100,54.17,0
3,3,3,2,3,2,2,2,2,2,0,25,25,25,25,50,2,1988.0,2,1,2,4,3,65,25.0,0
3,3,3,2,2,2,3,3,2,1,25,50,50,50,50,75,2,1990.0,2,1,15,1,1,30,50.0,0
2,1,1,3,3,3,3,3,2,4,50,75,100,100,75,75,2,1989.0,2,11,13,4,2,20,79.17,1
4,3,2,3,3,2,1,3,3,2,25,25,25,25,25,75,2,1979.0,2,1,4,4,3,60,33.33,0
2,3,3,2,2,2,1,2,3,4,25,50,50,100,50,50,2,1970.0,9,13,15,3,4,33,54.17,0
2,2,2,2,3,2,2,3,3,3,75,75,75,100,100,75,1,0.0,1,3,15,2,2,40,83.33,1
1,1,1,1,1,1,1,3,3,3,50,75,100,100,100,100,2,1948.0,7,11,15,4,4,20,87.5,1
3,3,3,3,3,2,2,3,3,2,50,75,50,25,50,75,2,1962.0,1,1,9,3,4,40,54.17,0
3,4,3,2,3,3,2,2,2,1,25,25,25,75,50,50,2,1990.0,2,1,13,1,1,25,41.67,0
4,4,4,1,4,3,2,2,1,1,0,0,0,25,25,25,2,1972.0,1,1,2,2,4,50,12.5,0
2,3,2,3,3,3,3,2,2,2,50,50,25,75,50,75,2,1959.0,1,3,9,1,5,48,54.17,0
1,2,2,3,2,2,1,3,3,2,50,50,75,100,50,25,1,1955.0,1,3,15,1,4,50,58.33,0
3,3,3,1,3,3,2,1,2,1,25,50,25,50,75,75,2,1989.0,2,3,9,1,3,60,50.0,0
3,1,4,2,3,3,1,1,4,2,25,25,25,50,25,50,2,1988.0,2,3,9,1,3,70,33.33,0
2,3,1,3,2,1,1,2,4,2,50,75,100,100,75,75,2,1988.0,2,11,9,4,1,40,79.17,1
3,2,3,1,1,2,1,1,3,4,25,50,25,75,50,100,1,1961.0,1,2,2,2,6,60,54.17,0
3,2,3,1,4,3,2,1,3,1,25,50,25,25,25,75,2,1974.0,2,1,10,4,2,50,37.5,0
2,3,4,4,4,2,2,2,2,2,25,50,50,100,25,75,1,1987.0,2,3,13,4,2,50,54.17,0
3,3,2,1,4,2,2,2,1,1,25,25,50,75,75,25,1,1990.0,2,1,4,4,1,40,45.83,0
3,3,4,2,3,2,1,2,2,3,25,25,75,100,50,75,2,1980.0,2,9,13,4,3,44,58.33,0
1,3,2,1,2,1,1,3,3,3,25,50,50,50,50,75,2,1982.0,9,9,15,4,3,41,50.0,0
4,4,4,1,3,3,3,1,1,1,25,25,25,25,25,75,2,1978.0,2,1,15,4,3,60,33.33,0
3,3,3,1,4,3,2,1,1,1,50,50,75,75,75,50,2,1985.0,2,3,13,4,2,30,62.5,0
1,2,3,3,2,2,1,3,3,2,25,25,25,50,25,50,2,1967.0,1,1,13,3,3,40,33.33,0
3,4,4,1,4,3,3,1,1,3,0,25,25,25,25,50,2,1977.0,2,9,13,4,2,20,25.0,0
3,3,3,2,2,2,2,2,2,2,50,50,50,75,50,75,2,1987.0,2,1,13,1,2,50,58.33,0
3,3,3,4,2,2,1,3,3,3,75,75,75,100,75,100,2,1977.0,1,1,13,2,3,60,83.33,1
2,2,1,2,4,2,2,2,2,2,25,75,75,50,50,75,2,1971.0,1,1,13,4,2,35,58.33,0
3,3,3,1,4,3,2,1,2,1,75,75,100,100,100,100,1,1961.0,2,3,13,1,4,50,91.67,1
3,2,3,3,3,2,2,3,3,3,25,50,50,75,50,25,2,1975.0,2,1,15,1,2,30,45.83,0
3,2,3,4,1,1,1,3,4,3,75,75,100,100,75,75,2,1982.0,1,2,13,1,6,70,83.33,1
3,3,3,3,3,3,1,3,2,3,50,50,75,100,50,100,1,1946.0,7,1,9,4,6,60,70.83,1
3,3,3,3,2,2,2,3,2,2,25,25,25,25,25,75,2,1968.0,1,3,13,1,4,60,33.33,0
3,2,2,1,4,4,1,1,1,2,25,25,0,0,25,75,2,1971.0,8,1,15,2,3,35,25.0,0
2,3,2,3,3,2,2,3,3,1,0,25,50,50,50,75,2,1962.0,1,1,15,3,2,35,41.67,0
2,3,3,3,2,2,2,4,3,2,50,75,75,100,75,75,2,1961.0,1,1,15,2,4,50,75.0,1
3,2,2,3,4,1,1,3,3,3,50,25,25,75,50,100,2,1972.0,1,2,15,1,3,50,54.17,0
3,2,3,3,2,1,1,3,3,3,50,100,100,100,100,100,2,1988.0,2,11,15,4,3,45,91.67,1
2,2,2,2,3,3,3,2,2,1,25,25,50,75,50,50,1,1953.0,1,1,4,4,2,0,45.83,0
4,4,4,2,4,4,3,1,1,1,25,25,0,50,25,75,2,1977.0,1,1,2,2,2,42,33.33,0
3,3,4,3,2,2,1,3,4,4,25,25,25,25,50,50,1,1975.0,1,1,13,1,6,70,33.33,0
2,2,3,4,3,2,1,3,3,3,50,50,75,100,75,75,2,1965.0,1,1,4,3,4,40,70.83,1
3,3,2,2,2,2,2,2,3,2,25,25,25,50,50,50,2,1977.0,2,1,10,2,2,30,37.5,0
3,3,3,2,3,2,1,1,1,1,25,50,25,50,25,75,2,1986.0,2,1,3,4,2,70,41.67,0
3,2,3,2,3,2,2,2,2,3,50,50,50,75,75,75,1,1949.0,7,3,15,2,6,0,62.5,0
3,3,3,2,1,2,1,3,3,1,25,25,50,75,50,50,2,1966.0,1,1,15,1,2,60,45.83,0
4,3,4,4,3,1,1,3,3,1,75,50,50,75,75,100,2,1964.0,2,1,2,3,4,50,70.83,1
3,3,4,2,4,3,1,2,1,1,25,50,25,75,50,50,2,1963.0,1,3,13,1,3,60,45.83,0
2,3,3,3,3,1,2,3,3,2,50,25,75,75,50,75,2,1987.0,2,3,15,1,2,50,58.33,0
3,2,3,1,3,2,1,2,2,1,25,25,25,25,0,50,2,1985.0,2,1,13,4,2,60,25.0,0
3,4,3,3,1,2,2,3,3,3,50,75,75,100,75,100,1,1963.0,1,1,8,3,3,55,79.17,1
3,3,1,3,3,3,1,2,1,2,75,75,50,100,100,100,1,1954.0,1,1,15,2,5,60,83.33,1
3,3,3,2,3,2,1,3,3,2,25,25,25,75,50,100,1,1968.0,1,1,4,3,5,60,50.0,0
3,2,3,3,1,1,1,3,2,2,25,50,50,50,50,50,2,1970.0,1,2,9,1,5,60,45.83,0
2,3,3,3,2,1,1,3,3,3,25,50,25,50,50,75,2,1954.0,1,2,2,1,5,70,45.83,0
3,2,3,4,3,2,2,4,2,3,75,50,50,50,50,75,2,1972.0,2,8,15,2,1,45,58.33,0
2,3,2,2,3,1,2,2,3,2,25,50,75,25,25,75,2,1975.0,2,9,13,4,5,42,45.83,0
3,2,3,2,3,2,2,2,2,1,25,25,50,50,25,25,2,1961.0,1,1,15,2,2,50,33.33,0
3,3,3,3,3,2,2,2,2,2,50,50,50,75,50,50,2,1971.0,2,1,4,4,2,35,54.17,0
4,4,4,1,4,4,2,1,1,1,0,0,0,0,0,0,2,1978.0,2,1,2,3,2,60,0.0,0
2,2,2,2,4,3,2,1,1,1,25,25,25,25,25,75,1,1970.0,2,1,13,4,2,45,33.33,0
3,2,2,3,3,2,2,2,2,1,75,50,75,100,75,75,2,1982.0,4,3,15,1,1,0,75.0,1
3,2,2,2,2,2,2,2,3,2,50,50,50,50,50,50,2,1976.0,2,1,15,1,3,40,50.0,0
4,4,4,2,1,4,2,2,4,1,0,0,0,0,0,25,1,1960.0,1,1,13,1,1,70,4.17,0
2,1,2,2,2,2,2,3,3,3,50,50,50,50,75,75,2,1963.0,2,14,15,1,2,20,58.33,0
4,3,3,3,1,1,1,3,4,2,25,75,75,50,50,75,1,1979.0,2,2,10,1,4,70,58.33,0
3,3,3,2,4,2,2,1,1,1,25,0,25,25,25,50,2,1981.0,2,1,15,2,2,50,25.0,0
3,3,4,1,4,3,1,1,1,2,25,75,75,100,75,100,2,1975.0,2,9,9,3,4,45,75.0,1
3,3,3,1,4,2,1,1,1,1,25,25,50,50,50,50,2,1979.0,2,2,15,1,2,55,41.67,0
3,4,4,2,4,3,2,1,1,1,0,0,0,50,25,75,2,1985.0,2,1,15,1,3,45,25.0,0
4,3,4,1,3,4,4,2,2,2,25,25,25,25,25,25,2,1983.0,4,1,10,2,3,70,25.0,0
4,4,4,3,2,3,1,3,3,3,25,25,25,75,50,50,2,1979.0,2,9,7,1,3,40,41.67,0
3,3,4,3,3,2,2,2,1,1,25,50,50,50,50,75,2,1986.0,2,1,16,4,2,50,50.0,0
3,3,3,3,3,2,2,3,3,2,0,25,25,25,25,75,2,1974.0,1,1,9,2,4,48,29.17,0
3,3,3,4,2,1,1,3,3,4,50,50,75,75,50,75,1,1962.0,2,1,13,4,1,50,62.5,0
2,2,2,2,2,2,2,2,3,3,75,75,100,100,100,100,1,1959.0,1,1,2,1,4,25,91.67,1
3,3,3,2,3,3,3,1,1,2,25,25,25,25,25,25,2,1981.0,5,13,4,4,1,0,25.0,0
3,3,3,2,2,2,2,2,2,2,25,25,25,25,25,50,2,1984.0,2,1,2,4,3,60,29.17,0
3,3,3,2,3,3,1,1,1,1,25,25,25,25,25,50,2,1975.0,1,1,15,3,3,60,29.17,0
4,3,4,2,4,3,2,1,1,2,0,0,25,25,25,0,2,1976.0,2,1,15,4,2,45,12.5,0
3,3,2,3,3,3,3,2,2,1,25,25,25,50,25,75,2,1977.0,2,1,9,1,2,50,37.5,0
3,3,3,2,2,2,1,2,2,1,25,25,50,75,50,50,2,1986.0,2,2,10,2,4,75,45.83,0
2,2,3,3,3,2,2,2,2,1,50,75,75,100,100,100,2,1970.0,2,1,10,4,1,15,83.33,1
3,2,2,3,2,1,2,3,3,3,50,25,50,75,50,75,2,1987.0,2,6,9,4,2,30,54.17,0
3,3,4,3,1,2,2,4,4,4,50,50,50,75,50,75,1,1936.0,7,3,15,1,6,60,58.33,0
4,3,3,3,4,2,4,3,3,1,25,25,25,50,50,75,2,1989.0,2,1,3,4,2,46,41.67,0
1,3,2,3,3,2,2,3,3,3,25,25,25,50,25,50,2,1992.0,9,13,15,1,1,39,33.33,0
3,3,4,3,3,2,1,3,2,1,25,75,25,75,25,100,2,1968.0,1,6,15,2,1,20,54.17,0
3,3,4,2,2,2,2,1,3,1,25,25,25,25,25,25,2,1990.0,2,1,3,4,2,75,25.0,0
3,2,2,3,2,2,2,3,3,3,50,50,75,75,75,100,2,1990.0,2,3,10,2,2,50,70.83,1
3,2,3,2,2,3,2,2,2,1,25,25,25,25,0,50,2,1983.0,2,2,9,1,2,50,25.0,0
3,3,3,2,3,2,2,2,3,2,0,25,25,50,50,50,2,1986.0,2,1,6,4,2,42,33.33,0
3,2,3,2,2,3,2,3,3,1,25,25,50,75,75,75,1,1942.0,1,1,4,3,2,60,54.17,0
4,2,3,4,2,2,2,2,2,2,25,25,50,50,50,75,2,1969.0,2,1,13,1,2,50,45.83,0
2,3,1,2,3,1,1,2,2,3,25,25,25,50,50,50,2,1991.0,2,2,15,1,2,50,37.5,0
3,3,2,2,3,2,1,2,3,2,0,25,25,50,25,75,2,1987.0,2,3,2,2,3,45,33.33,0
3,3,3,3,3,2,2,3,2,3,25,50,25,75,75,75,1,0.0,2,9,2,1,4,45,54.17,0
4,4,4,3,4,1,1,1,1,1,50,75,75,100,75,75,2,1981.0,2,1,2,4,3,40,75.0,1
3,2,2,4,2,2,1,3,3,2,25,25,25,50,25,50,2,1985.0,2,1,13,4,2,40,33.33,0
2,2,2,2,3,3,4,2,2,3,25,25,25,50,50,75,2,1987.0,2,1,15,4,2,30,41.67,0
3,3,2,3,3,4,4,2,2,2,0,25,25,75,75,100,2,1960.0,1,3,1,2,3,60,50.0,0
4,4,4,1,4,2,2,1,3,1,50,25,25,25,25,50,2,1987.0,2,1,14,1,1,45,33.33,0
4,3,3,2,2,2,2,1,3,3,25,25,25,50,25,75,2,1971.0,1,1,15,3,1,60,37.5,0
3,3,2,2,3,2,2,2,2,2,25,25,50,75,50,50,2,1976.0,4,13,15,2,1,10,45.83,0
2,2,3,4,2,2,2,3,2,2,50,25,75,75,75,75,2,1991.0,2,3,15,3,2,60,62.5,0
3,2,3,3,2,3,2,3,3,2,50,50,25,50,50,75,2,1966.0,1,1,4,2,2,44,50.0,0
3,4,4,1,4,4,2,1,2,1,0,25,25,25,25,75,2,1971.0,1,1,2,4,5,35,29.17,0
4,3,1,3,3,3,1,3,3,3,0,25,25,50,50,50,2,1982.0,4,3,9,1,3,55,33.33,0
3,3,3,3,2,2,1,2,3,2,75,75,75,50,75,100,2,1985.0,2,1,13,1,2,20,75.0,1
3,3,3,2,2,2,2,2,3,3,50,75,75,75,75,100,2,1975.0,2,9,3,4,3,40,75.0,1
2,2,3,4,1,2,1,4,4,3,25,50,75,100,50,75,2,1980.0,2,3,4,1,3,35,62.5,0
3,3,2,2,2,2,1,2,2,2,25,50,50,75,50,50,2,1978.0,2,2,2,2,4,50,50.0,0
2,2,3,3,1,3,1,4,3,3,50,75,75,100,75,75,2,1986.0,2,3,13,4,2,43,75.0,1
3,2,3,3,4,2,1,2,2,1,25,50,25,50,25,75,2,1987.0,2,1,15,3,2,45,41.67,0
3,1,2,3,2,2,2,3,2,2,25,50,75,50,25,50,2,1982.0,2,1,2,4,2,45,45.83,0
4,3,4,1,4,4,1,1,1,3,25,50,25,25,25,25,1,1969.0,2,9,13,2,3,15,29.17,0
3,3,3,1,2,1,1,1,2,1,25,25,25,50,25,25,1,1975.0,2,1,2,4,3,40,29.17,0
2,2,4,3,2,2,1,3,3,3,50,100,75,75,100,100,2,1982.0,1,3,13,1,4,40,83.33,1
4,3,3,4,4,1,1,4,4,2,25,25,50,25,25,100,2,1961.0,1,1,13,1,2,50,41.67,0
3,3,3,4,2,2,2,3,3,2,25,50,75,100,75,75,2,1976.0,2,2,2,1,5,45,66.67,1
4,4,3,3,4,3,2,2,1,1,50,25,25,25,25,25,2,1980.0,2,1,15,3,5,35,29.17,0
3,3,3,3,3,2,2,3,2,3,50,50,75,100,75,100,2,1981.0,2,9,13,4,3,42,75.0,1
3,4,3,2,4,4,4,2,2,1,25,25,25,25,25,50,2,1987.0,2,11,12,3,2,60,29.17,0
2,2,2,3,3,2,2,3,3,2,50,75,50,75,50,75,2,1978.0,2,3,15,3,2,18,62.5,0
3,3,3,4,4,2,2,3,3,3,25,25,75,100,50,25,2,1967.0,2,9,4,1,3,30,50.0,0
